date,percentile_rank,z_score,mc_mean,mc_std,actual,actual_vs_mean_pct
2024-05-17,73.2,0.6092883219951689,211.50341282046878,12.73056825517885,219.26,3.6673579286946367
2024-05-18,74.2,0.6233391138044764,228.65662787981077,13.048068566095651,236.79,3.557024432488509
2024-05-19,75.60000000000001,0.6545266167483739,219.18920387550136,13.094647720440936,227.76,3.9102273163813317
2024-05-20,78.30000000000001,0.7918392475205227,209.9087419845317,12.453610066067709,219.77,4.697878669672084
2024-05-21,66.7,0.39367623543531294,91.02909504715403,8.892852156286656,94.53,3.8459186604375972
2024-05-22,74.4,0.6791898681689775,170.12148659897892,11.113994886556796,177.67,4.437131106674896
2024-05-23,75.9,0.67791710800114,183.51336512410168,11.972900672050242,191.63,4.422912124361855
2024-05-24,73.7,0.6506242025714989,204.7852136163767,12.779705550663653,213.1,4.060247435246644
2024-05-25,73.5,0.611254054507667,213.32983792824635,12.41735969606461,220.92,3.5579467670652676
2024-05-26,65.60000000000001,0.37039852674939383,206.39382343665255,12.624715961985304,211.07,2.2656572204946324
2024-05-27,71.7,0.5638580774614789,212.45130193753317,12.891005359598354,219.72,3.42134785533299
2024-05-28,62.900000000000006,0.2824688040427892,205.7442779819104,12.623417823798576,209.31,1.7330844157926517
2024-05-29,59.2,0.23543809707353489,187.65206524277164,11.92642378906614,190.46,1.4963516407856536
2024-05-30,78.5,0.7302447350914639,186.2007029618335,11.597887531309556,194.67,4.548477478037483
2024-05-31,81.60000000000001,0.8399029314446702,170.92647776125014,11.493615556553014,180.58,5.647762924263788
2024-06-01,75.7,0.7003620532725295,208.65453340402118,12.529899149464637,217.43,4.20573972336693
2024-06-02,80.60000000000001,0.828816664278379,188.74170456614252,11.93061750713012,198.63,5.2390622711538715
2024-06-03,56.2,0.16921017295087293,55.431760481954306,8.677015827303691,56.9,2.648733334969
2024-06-04,66.2,0.4007344556487976,97.60051002818899,9.281681469227827,101.32,3.810932925183219
2024-06-05,64.0,0.3209374276868795,89.82411834812959,9.428259435933288,92.85,3.3686739235703422
2024-06-06,64.60000000000001,0.36222219374311226,78.5946731619943,9.097527795661678,81.89,4.192811936775387
2024-06-07,80.4,0.8979115235442231,196.44570767773885,12.188607827584688,207.39,5.57115370533563
2024-06-08,76.80000000000001,0.7066598723511646,206.32283561392518,12.632900251874954,215.25,4.326794152237934
2024-06-09,76.5,0.7172424112948029,207.58657624183752,12.706196534680705,216.7,4.390179713521247
